# Bucket (ms)	Occurrences	%		Cum. %
1000			265			57.98	57.98
2000			95			20.78	78.76
3000			38			8.31	87.07
4000			14			3.06	90.13
5000			12			2.62	92.75
6000			4			0.87	93.62
7000			4			0.87	94.49
8000			1			0.21	94.70
9000			1			0.21	94.91
10000			3			0.65	95.56
11000			2			0.43	95.99
12000			3			0.65	96.64
13000			2			0.43	97.07
15000			1			0.21	97.28
16000			3			0.65	97.93
17000			2			0.43	98.36
18000			1			0.21	98.57
19000			2			0.43	99.00
20000			1			0.21	99.21
24000			1			0.21	99.42
28000			1			0.21	99.63
45000			1			0.21	99.84
